component	chapter	code	kind	preferred	description	inclusions	exclusions	depth
D	H	HD67.02	otherDiagnosis	Meniere disease	Meniere Disease (MD) is a chronic progressive inner ear disease, with endolymphatic hydrops. It is characterised by recurrent attacks of debilitating spontaneous vertigo lasting from 20 minutes to up to 12 hours, accompanied by a sense of fullness and tinnitus in the affected ear, and ipsilateral fluctuating sensorineural hearing loss (SNHL) in the low or low and middle frequencies. There may be nystagmus during attacks and falls are frequent. When known, etiology should be added.	labyrinthine hydrops		1
D	H	HD68	otherDiagnosis	Presbycusis	The term presbycusis refers to sensorineural hearing impairment in elderly individuals. Characteristically, presbycusis involves bilateral high-frequency hearing loss associated with difficulty in speech discrimination and central auditory processing of information. Gradual onset with ageing of symmetrical, bilateral deafness, particularly involving high-frequency sounds.		deafness HD69	0
D	H	HD69	otherDiagnosis	Deafness		complete deafness both ears;congenital deafness;deafness one ear;partial deafness both ears	noise deafness HD35;otosclerosis HD99;presbyacusis HD68	0
D	H	HD99	otherDiagnosis	Other specified or unknown diagnoses or diseases of ear and mastoid		constricted external canal;narrow external canal;otosclerosis;polyp of middle ear;stenosis external canal	mastoiditis HD05	0
S	H	HS01	symptom	Ear pain or ache		otalgia		0
S	H	HS02	symptom	Hearing complaint		diplacusis;feeling of hearing loss;hyperacusis;hypoacusis	deafness one ear HD69;deafness both ears HD69;tinnitus HS03	0
S	H	HS03	symptom	Tinnitus, ringing or buzzing ear	A nonspecific symptom of hearing disorder characterised by the sensation of buzzing, ringing, clicking, pulsations, and other noises in the ear in the absence of appropriate corresponding external stimuli and in the absence of what the examiner can hear with a stethoscope.	echo in ear	ears crackling/popping HS99	0
S	H	HS04	symptom	Ear discharge		otorrhoea	blood in/from ear HS05	0
S	H	HS05	symptom	Bleeding ear		blood from ear;blood in ear;hemorrhage from the ear;otorrhagia		0
S	H	HS06	symptom	Plugged feeling in ear		blocked ear	excessive ear wax HD66	0
S	H	HS90	complaint	Concern or fear of ear disease	Concern about or fear of ear disease or deafness in a patient without the disease and until the diagnosis is proven.	fear of deafness		0
S	H	HS91	complaint	Concern about appearance of ears			bat ears/congenital anomaly ear HD55	0
S	H	HS99	symptom	Other specified symptoms, complaints, abnormal findings of ear		ears crackling;ears popping;itchy ears;pulling at ears		0
D	K	KD01	infection	Infection of circulatory system		acute endocarditis;bacterial endocarditis;chronic bacterial endocarditis;myocarditis;pericarditis;subacute endocarditis	arteritis KD99;chronic non-bacterial endocarditis KD71;phlebitis and thrombophlebitis KD78;rheumatic heart disease KD02	0
D	K	KD02	infection	Rheumatic heart disease	For acute rheumatic fever: two major, or one major, and two minor manifestations, plus evidence of preceding streptococcal  infection; - major manifestations: migratory polyarthritis; carditis; chorea; erythema marginatum; subcutaneous nodules of recent onset - minor manifestations: fever; arthralgia; elevated ESR or positive C-reactive protein; prolonged P-R interval on ECG- For chronic rheumatic heart disease: either physical findings consistent with a valve lesion of the heart in a patient with a history of rheumatic fever; or physical findings consistent with mitral stenosis, even in the absence of a history of rheumatic fever, but without any other demonstrable cause.	chorea		0
D	K	KD02.00	infection	Acute rheumatic fever with heart disease	For acute rheumatic fever: two major, or one major, and two minor manifestations, plus evidence of preceding streptococcal  infection; - major manifestations: migratory polyarthritis; carditis; chorea; erythema marginatum; subcutaneous nodules of recent onset - minor manifestations: fever; arthralgia; elevated ESR or positive C-reactive protein; prolonged P-R interval on ECG-			1
D	K	KD02.01	infection	Acute rheumatic fever without heart disease	For acute rheumatic fever: two major, or one major, and two minor manifestations, plus evidence of preceding streptococcal  infection; - major manifestations: migratory polyarthritis; chorea; erythema marginatum; subcutaneous nodules of recent onset - minor manifestations: fever; arthralgia; elevated ESR or positive C-reactive protein.			1
D	K	KD25	neoplasm	Neoplasms circulatory system			haemangioma SD28	0
D	K	KD25.00	neoplasm	Benign cardiovascular neoplasm				1
D	K	KD25.01	neoplasm	Malignant cardiovascular neoplasm				1
D	K	KD25.02	neoplasm	Uncertain cardiovascular neoplasm				1
D	K	KD35	trauma	Injury of circulatory system		injury of blood vessels		0
D	K	KD55	congenital	Congenital anomaly of circulatory system		Fallot's tetralogy;patent ductus arteriosus	haemangioma SD28	0
D	K	KD55.00	congenital	Congenital anomaly of atrial septum		A congenital cardiovascular malformation in which there is an abnormality of the atrial septum.		1
D	K	KD55.01	congenital	Congenital ventricular septal defect	A congenital cardiac malformation in which there is an abnormality of a ventricle and/or the ventricular septum. The ventricles include the ventricular inlet, ventricular body and ventricular outflow tract.			1
D	K	KD65	otherDiagnosis	Acute coronary syndrome	Acute coronary syndrome (ACS) is a syndrome, a set of signs and symptoms, due to decreased blood flow in the coronary arteries such that part of the heart muscle is unable to function properly or dies. The most common symptom is chest pain, often radiating to the left shoulder or angle of the jaw, crushing, central and associated with nausea and sweating.			0
D	K	KD65.00	otherDiagnosis	Acute myocardial infarction	Acute myocardial infarction is myocardial necrosis resulting from acute obstruction of a coronary artery.			1
D	K	KD65.01	otherDiagnosis	Unstable angina pectoris	Precordial pain at rest, which may precede a myocardial infarction.			1
D	K	KD66	otherDiagnosis	Chronic ischaemic heart disease	Chronic heart disease is seen due to the atherosclerosis of coronary arteries.	aneurysm of heart;arteriosclerotic heart disease;atherosclerotic heart disease;coronary artery disease;ischaemic cardiomyopathy;silent myocardial ischaemia	acute ischaemic heart disease KD65	0
D	K	KD66.00	otherDiagnosis	Coronary sclerosis		Atherosclerosis is the build up inside the coronary arteries of cholesterol, fatty acids, calcium, fibrous connective tissue and cells (mostly macrophages), referred to as plaque. The effect of this is to reduce the blood flow through the coronary arteries to heart muscle and when marked results in heart damage often with symptoms such as chest pain.	acute ischaemic heart disease KD65	1
D	K	KD66.01	otherDiagnosis	Old myocardial infarction	Past myocardial infarction diagnosed by ECG or other special investigation, but currently presenting no symptoms.		acute ischaemic heart disease KD65	1
D	K	KD66.02	otherDiagnosis	Stable angina	Persistent and reproducible chest discomfort usually precipitated by a physical exertion that dissipates upon cessation of such an activity. The symptoms are manifestations of myocardial ischemia. Persistent and reproducible chest discomfort usually precipitated by a physical exertion that dissipates upon cessation of such an activity. The symptoms are manifestations of myocardial ischemia.		acute ischaemic heart disease KD65	1
D	K	KD67	otherDiagnosis	Heart failure	Multiple signs including dependent oedema, raised jugular venous pressure, hepatomegaly in the absence of liver disease, pulmonary congestion, pleural effusion, enlarged heart.	diastolic heart failure;left ventricular heart failure;right ventricular heart failure;systolic heart failure	cor pulmonale KD99;pulmonary oedema without heart disease/heart failure RD99	0
D	K	KD67.00	otherDiagnosis	Acute heart failure	Acute heart failure is a state of reduced cardiac ouput with a sudden onset of symptoms.			1
D	K	KD67.01	otherDiagnosis	Chronic heart failure	Chronic heart failure, otherwise known as congestive heart failure or heart failure, is an ongoing inability of the heart to pump enough blood through the body to ensure a sufficient supply of oxygen.			1
D	K	KD67.02	otherDiagnosis	Left ventricular heart failure with mid range or reduced ejection fraction	A syndrome of left ventricular dysfunction associated with mid range or reduced ejection fraction.			1
D	K	KD67.03	otherDiagnosis	Left ventricular heart failure with preserved ejection fraction	A syndrome of left ventricular dysfunction occurring with normal or relatively preserved ejection fraction			1
D	K	KD68	otherDiagnosis	Atrial fibrillation or flutter	Atrial fibrillation is an abnormal cardiac rhythm that is characterised by rapid, uncoordinated firing of electrical impulses in the upper chambers of the heart. As a result, blood cannot be effectively pumped into the lower chambers of the heart. As in atrial fibrillation, patients with atrial flutter cannot effectively pump blood into the lower chambers of the heart. Rapid, irregular atrial contractions caused by a block of electrical impulse conduction in the right atrium and a reentrant wave front travelling up the inter-atrial septum and down the right atrial free wall or vice versa. Unlike atrial fibrillation which is caused by abnormal impulse generation, typical atrial flutter is caused by abnormal impulse conduction.		paroxysmal tachycardia KD69	0
D	K	KD69	otherDiagnosis	Paroxysmal tachycardia	History of recurrent episodes of rapid heart rate (over 140 beats per minute) with both abrupt onset and termination.	re-entry tachycardia	tachycardia NOS KS02;atrial fibrillation KD68	0
D	K	KD69.00	otherDiagnosis	Supraventricular tachycardia	Tachycardia originating at or above the atrioventricular (AV) node, usually with a narrow QRS or QRS complex similar to the sinus QRS morphology.		tachycardia NOS KS02;atrial fibrillation KD68	1
D	K	KD69.01	otherDiagnosis	Ventricular tachycardia	Ventricular tachycardia is a cardiac arrhythmia of three or more consecutive complexes in duration emanating from the ventricles at a rate of greater than 120 bpm in adolescents or adults and a rate greater than 150 bpm in child. Ventricular tachycardia may occur with or without loss of cardiac output.		tachycardia NOS KS02;atrial fibrillation KD68	1
D	K	KD70	otherDiagnosis	Cardiac arrhythmia or conduction disorder or both	One or more heart beats which occur at times other than the regular beats of the underlying rhythm.	atrial premature beats;bigeminy;bundle branch block;cardiac arrhythmia;conduction disorder;ectopic beats;extrasystoles;heart block;junctional premature beats;left bundle-branch block;other conduction disorders;premature beats;right bundle branch block;ventricular fibrillation/flutter;ventricular premature beats	paroxysmal tachycardia KD69	0
D	K	KD70.00	otherDiagnosis	Atrioventricular block	Disorder of the atrioventricular conduction system.			1
D	K	KD70.01	otherDiagnosis	Long Q-T syndrome	A congenital disorder of ventricular myocardial repolarization characterised by a prolonged QT interval on the electrocardiogram (ECG) that can lead to symptomatic ventricular arrhythmias and an increased risk of sudden cardiac death.			1
